iter	Passed	Remaining
0	15	15656
1	33	16676
2	46	15387
3	58	14601
4	73	14693
5	86	14325
6	97	13810
7	107	13371
8	121	13381
9	135	13369
10	146	13182
11	159	13155
12	173	13191
13	186	13138
14	196	12890
15	208	12810
16	222	12864
17	236	12893
18	250	12958
19	262	12846
20	273	12768
21	282	12563
22	296	12578
23	308	12548
24	320	12518
25	331	12429
26	342	12334
27	354	12313
28	365	12250
29	375	12131
30	388	12142
31	402	12161
32	408	11966
33	421	11987
34	437	12073
35	451	12094
36	465	12113
37	476	12073
38	487	12023
39	500	12005
40	512	11986
41	525	11985
42	538	11993
43	551	11983
44	564	11972
45	578	11995
46	591	11983
47	602	11959
48	611	11875
49	624	11856
50	638	11885
51	655	11949
52	669	11958
53	681	11943
54	693	11920
55	705	11891
56	718	11891
57	731	11876
58	741	11825
59	753	11800
60	767	11812
61	781	11825
62	793	11797
63	806	11793
64	817	11762
65	832	11780
66	847	11805
67	860	11792
68	874	11797
69	888	11801
70	901	11794
71	913	11771
72	927	11779
73	938	11747
74	952	11751
75	967	11758
76	978	11731
77	988	11687
78	1003	11704
79	1016	11692
80	1029	11684
81	1047	11722
82	1061	11726
83	1077	11744
84	1089	11727
85	1098	11677
86	1109	11643
87	1123	11645
88	1133	11604
89	1146	11588
90	1159	11581
91	1171	11560
92	1181	11526
93	1194	11516
94	1206	11495
95	1218	11475
96	1229	11443
97	1240	11417
98	1253	11412
99	1269	11422
100	1283	11423
101	1295	11405
102	1307	11383
103	1317	11354
104	1327	11316
105	1339	11296
106	1351	11280
107	1363	11264
108	1376	11252
109	1389	11238
110	1400	11215
111	1410	11186
112	1422	11167
113	1434	11151
114	1446	11129
115	1460	11133
116	1477	11153
117	1491	11147
118	1502	11126
119	1516	11121
120	1526	11088
121	1538	11071
122	1547	11032
123	1557	11001
124	1567	10970
125	1579	10954
126	1591	10936
127	1603	10924
128	1616	10912
129	1628	10900
130	1639	10877
131	1652	10866
132	1666	10861
133	1680	10860
134	1694	10856
135	1707	10846
136	1715	10808
137	1726	10783
138	1737	10762
139	1747	10732
140	1758	10710
141	1769	10691
142	1778	10660
143	1788	10633
144	1799	10611
145	1810	10592
146	1824	10584
147	1836	10572
148	1848	10559
149	1861	10550
150	1879	10567
151	1892	10559
152	1906	10554
153	1919	10546
154	1929	10520
155	1942	10507
156	1954	10493
157	1968	10491
158	1978	10466
159	1990	10451
160	2003	10441
161	2013	10418
162	2024	10397
